date,BTC_CAD,ADA_CAD
2021-06-05,42959.210938,2.004664
2021-06-06,43305.792969,2.026577
2021-06-07,40562.109375,1.890408
2021-06-08,40547.441406,1.923677
2021-06-09,45243.800781,1.968485
2021-06-10,44397.484375,1.853018
2021-06-11,45383.324219,1.746047
2021-06-12,43217.285156,1.799341
2021-06-13,47541.511719,1.894905
2021-06-14,48838.464844,1.912702
2021-06-15,49245.140625,1.947265
2021-06-16,47084.941406,1.820396
2021-06-17,46979.714844,1.829872
2021-06-18,44603.789063,1.764093
2021-06-19,44390.195313,1.733151
2021-06-20,44447.054688,1.779446
2021-06-21,39183.910156,1.456537
2021-06-22,40018.953125,1.419815
2021-06-23,41497.132813,1.541723
2021-06-24,42714.136719,1.671091
2021-06-25,38885.363281,1.544313
2021-06-26,39559.511719,1.536891
2021-06-27,42588.746094,1.64113
2021-06-28,42473.03125,1.634015
2021-06-29,44467.078125,1.69652
2021-06-30,43429.964844,1.714688
2021-07-01,41767.710938,1.66166
2021-07-02,41748.453125,1.717374
2021-07-03,42698.652344,1.732694
2021-07-04,43513.714844,1.798102
2021-07-05,41646.582031,1.733811
2021-07-06,42652.53125,1.766706
2021-07-07,42260.417969,1.751463
2021-07-08,41199.03125,1.666822
2021-07-09,42067.4375,1.679653
2021-07-10,41713.269531,1.662638
2021-07-11,42627.765625,1.678391
2021-07-12,41301.609375,1.638194
2021-07-13,40950.132813,1.584162
2021-07-14,41080.945313,1.579861
2021-07-15,40016.707031,1.540183
2021-07-16,39641.570313,1.480765
2021-07-17,39782.277344,1.478982
2021-07-18,40120.738281,1.493572
2021-07-19,39292.890625,1.429428
2021-07-20,37782.691406,1.338916
2021-07-21,40368.601563,1.468497
2021-07-22,40599.640625,1.490346
2021-07-23,42184.976563,1.515357
2021-07-24,43078,1.549513
2021-07-25,44429.316406,1.544022
2021-07-26,46833.140625,1.578551
2021-07-27,49619.839844,1.609775
2021-07-28,50075.875,1.606979
2021-07-29,49807.882813,1.598601
2021-07-30,52664.984375,1.632178
2021-07-31,51937.421875,1.649902
2021-08-01,49842.898438,1.643018
2021-08-02,49008.234375,1.637779
2021-08-03,47815.226563,1.710719
2021-08-04,49861.855469,1.726852
2021-08-05,51094.585938,1.732941
2021-08-06,53738.988281,1.759382
2021-08-07,55936.242188,1.846318
2021-08-08,55066.585938,1.795185
2021-08-09,58308.617188,1.858264
2021-08-10,57070.863281,2.093994
2021-08-11,57027.972656,2.248965
2021-08-12,55625.550781,2.28355
2021-08-13,59816.925781,2.673463
2021-08-14,58928.640625,2.742283
2021-08-15,58896.96875,2.715509
2021-08-16,57838.539063,2.61432
2021-08-17,56438.257813,2.432781
2021-08-18,56733.089844,2.670133
2021-08-19,59946.082031,3.115689
2021-08-20,63257.757813,3.15102
2021-08-21,62701.730469,3.122471
2021-08-22,63260.445313,3.480651
2021-08-23,62695.84375,3.691669
2021-08-24,60098.5,3.427935
2021-08-25,61639.230469,3.447174
2021-08-26,59549.910156,3.216517
2021-08-27,61922.34375,3.716194
2021-08-28,61725.101563,3.594131
2021-08-29,61591.507813,3.602398
2021-08-30,59328.476563,3.446058
2021-08-31,59509.3125,3.497979
2021-09-01,61654.964844,3.623496
2021-09-02,61923.3125,3.720138
2021-09-03,62659.28125,3.717868
2021-09-04,62563.886719,3.548558
2021-09-05,64857.945313,3.647877
2021-09-06,65973.929688,3.549664
